epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-114066.264,-8987488.256,-11901235.2,-9989008.384,-9246285.824,1e-05,mfvi,0,10,2
5000,-214887.872,-5196172.288,-4740964.352,-7623443.968,-7488293.888,1e-05,mfvi,0,10,2
10000,-56732.6,-4703558.656,-4668536.832,-7734808.576,-7650143.744,1e-05,mfvi,0,10,2
15000,-34862.516,-4245485.568,-4590483.456,-7779366.912,-7736264.704,1e-05,mfvi,0,10,2
20000,-81878.048,-3848050.688,-4489606.144,-7805812.736,-7792201.728,1e-05,mfvi,0,10,2
25000,-100472.888,-3711693.312,-4428410.368,-7833458.688,-7796613.12,1e-05,mfvi,0,10,2
30000,-102970.816,-3634241.28,-4382435.328,-7889540.096,-7813087.232,1e-05,mfvi,0,10,2
35000,-103448.688,-3557673.216,-4310077.952,-7976642.56,-7914130.432,1e-05,mfvi,0,10,2
40000,-82816.416,-3557929.472,-4269786.624,-8064728.064,-8018707.456,1e-05,mfvi,0,10,2
45000,-75487.04,-3561473.536,-4224013.056,-8083745.792,-8072577.024,1e-05,mfvi,0,10,2
50000,-82161.264,-3585991.68,-4220113.408,-8090752.0,-8116001.792,1e-05,mfvi,0,10,2
55000,-69194.68,-3646360.576,-4251581.44,-8069361.664,-8114532.352,1e-05,mfvi,0,10,2
60000,-57113.216,-3681406.464,-4256869.888,-8062943.744,-8121328.64,1e-05,mfvi,0,10,2
65000,-59195.792,-3658374.912,-4217059.584,-8055479.296,-8110434.304,1e-05,mfvi,0,10,2
70000,-61475.564,-3637157.888,-4191224.832,-8047820.8,-8075037.696,1e-05,mfvi,0,10,2
75000,-59646.26,-3642534.144,-4185512.448,-8042322.944,-8068425.216,1e-05,mfvi,0,10,2
80000,-58946.4,-3636257.792,-4168253.184,-8029278.208,-8036293.632,1e-05,mfvi,0,10,2
85000,-60304.872,-3629368.832,-4159367.936,-8015970.304,-8003016.192,1e-05,mfvi,0,10,2
90000,-60417.604,-3615010.816,-4144771.84,-8012740.608,-7987314.176,1e-05,mfvi,0,10,2
95000,-57664.392,-3621890.56,-4139744.0,-8002245.12,-7977144.832,1e-05,mfvi,0,10,2
100000,-62240.06,-3612846.592,-4127144.704,-7996485.632,-7958089.728,1e-05,mfvi,0,10,2
105000,-69956.608,-3580157.44,-4107832.064,-7983878.656,-7957027.84,1e-05,mfvi,0,10,2
110000,-67393.6,-3571445.76,-4099369.472,-7970204.672,-7941728.256,1e-05,mfvi,0,10,2
115000,-66830.68,-3570294.272,-4082782.208,-7957843.456,-7923694.08,1e-05,mfvi,0,10,2
120000,-64345.696,-3575835.136,-4075724.8,-7948743.68,-7917086.72,1e-05,mfvi,0,10,2
125000,-64088.148,-3556915.456,-4062419.712,-7943673.344,-7914942.976,1e-05,mfvi,0,10,2
130000,-59899.56,-3574578.432,-4052104.448,-7905823.744,-7890013.184,1e-05,mfvi,0,10,2
135000,-59067.244,-3561754.368,-4039283.968,-7893061.632,-7893680.64,1e-05,mfvi,0,10,2
140000,-60926.172,-3555697.408,-4029988.608,-7885883.392,-7879795.712,1e-05,mfvi,0,10,2
145000,-63071.976,-3551256.064,-4028045.824,-7881564.16,-7874187.264,1e-05,mfvi,0,10,2
150000,-63217.924,-3528921.6,-4004530.688,-7871453.184,-7871728.64,1e-05,mfvi,0,10,2
155000,-63488.816,-3533944.576,-3999108.096,-7857286.144,-7887802.368,1e-05,mfvi,0,10,2
160000,-63459.56,-3514892.288,-3984163.584,-7846449.664,-7897333.76,1e-05,mfvi,0,10,2
165000,-61167.788,-3508199.424,-3976887.808,-7841633.28,-7906291.2,1e-05,mfvi,0,10,2
170000,-62699.168,-3487171.584,-3959058.944,-7833921.024,-7908121.6,1e-05,mfvi,0,10,2
175000,-61768.288,-3486460.416,-3953947.904,-7836165.12,-7917710.848,1e-05,mfvi,0,10,2
180000,-62855.616,-3480902.656,-3945284.096,-7829311.488,-7924623.872,1e-05,mfvi,0,10,2
185000,-62213.236,-3477634.816,-3939226.624,-7823288.32,-7924189.184,1e-05,mfvi,0,10,2
190000,-61468.516,-3463196.416,-3925820.416,-7810798.592,-7926037.504,1e-05,mfvi,0,10,2
195000,-60120.928,-3463287.296,-3921773.824,-7805796.352,-7930379.264,1e-05,mfvi,0,10,2
200000,-62296.376,-3448306.688,-3912143.36,-7802882.56,-7922960.384,1e-05,mfvi,0,10,2
