epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train
0,-57.08200454711914,1,sbvi,0,4
500,-18.994647979736328,1,sbvi,0,4
1000,-16.612369537353516,1,sbvi,0,4
1500,-12.455500602722168,1,sbvi,0,4
2000,-12.520841598510742,1,sbvi,0,4
2500,-12.262247085571289,1,sbvi,0,4
3000,-11.704423904418945,1,sbvi,0,4
3500,-11.294870376586914,1,sbvi,0,4
4000,-10.779067993164062,1,sbvi,0,4
4500,-8.484222412109375,1,sbvi,0,4
5000,-6.153167724609375,1,sbvi,0,4
5500,-7.181220054626465,1,sbvi,0,4
6000,-6.465224742889404,1,sbvi,0,4
6500,-6.560511112213135,1,sbvi,0,4
7000,-8.961811065673828,1,sbvi,0,4
7500,-5.753955364227295,1,sbvi,0,4
8000,-3.772566795349121,1,sbvi,0,4
8500,-3.295004367828369,1,sbvi,0,4
9000,-4.420790672302246,1,sbvi,0,4
9500,-3.4879422187805176,1,sbvi,0,4
10000,-3.5322744846343994,1,sbvi,0,4
10500,-4.443182468414307,1,sbvi,0,4
11000,-2.828202724456787,1,sbvi,0,4
11500,-2.205319404602051,1,sbvi,0,4
12000,-1.6525559425354004,1,sbvi,0,4
12500,-2.0993239879608154,1,sbvi,0,4
13000,-2.169677495956421,1,sbvi,0,4
13500,-2.0408568382263184,1,sbvi,0,4
14000,-2.31195330619812,1,sbvi,0,4
14500,-2.117131233215332,1,sbvi,0,4
15000,-2.0802955627441406,1,sbvi,0,4
15500,-1.0972445011138916,1,sbvi,0,4
16000,-0.8762779235839844,1,sbvi,0,4
16500,-1.2351610660552979,1,sbvi,0,4
17000,-2.4539895057678223,1,sbvi,0,4
17500,-1.5030819177627563,1,sbvi,0,4
18000,-1.4596846103668213,1,sbvi,0,4
18500,-1.7399086952209473,1,sbvi,0,4
19000,-1.034326434135437,1,sbvi,0,4
19500,-1.5206555128097534,1,sbvi,0,4
20000,-1.1901458501815796,1,sbvi,0,4
20500,-1.3682289123535156,1,sbvi,0,4
21000,-0.788798451423645,1,sbvi,0,4
21500,-1.2677593231201172,1,sbvi,0,4
22000,-1.3106012344360352,1,sbvi,0,4
22500,-0.8667788505554199,1,sbvi,0,4
23000,-0.717474102973938,1,sbvi,0,4
23500,-0.6968178749084473,1,sbvi,0,4
24000,-3.17183256149292,1,sbvi,0,4
24500,-0.49436330795288086,1,sbvi,0,4
25000,-0.21492737531661987,1,sbvi,0,4
25500,-0.9317443370819092,1,sbvi,0,4
26000,0.05907323956489563,1,sbvi,0,4
26500,-0.7406948804855347,1,sbvi,0,4
27000,-0.26699015498161316,1,sbvi,0,4
27500,-1.0414221286773682,1,sbvi,0,4
28000,-0.7112360000610352,1,sbvi,0,4
28500,-0.5054124593734741,1,sbvi,0,4
29000,0.012503698468208313,1,sbvi,0,4
29500,-0.8361912369728088,1,sbvi,0,4
30000,-2.067687511444092,1,sbvi,0,4
30500,-0.5353925824165344,1,sbvi,0,4
31000,-0.7672512531280518,1,sbvi,0,4
31500,-0.7556014657020569,1,sbvi,0,4
32000,-2.128241539001465,1,sbvi,0,4
32500,-1.5313491821289062,1,sbvi,0,4
33000,-1.966264247894287,1,sbvi,0,4
33500,-0.3351210057735443,1,sbvi,0,4
34000,-0.3096389174461365,1,sbvi,0,4
34500,-0.1732620894908905,1,sbvi,0,4
35000,-0.1795281171798706,1,sbvi,0,4
35500,-0.016055822372436523,1,sbvi,0,4
36000,-0.2842901945114136,1,sbvi,0,4
36500,-2.1028666496276855,1,sbvi,0,4
37000,-0.006221592426300049,1,sbvi,0,4
37500,-0.7990664839744568,1,sbvi,0,4
38000,-0.5207108855247498,1,sbvi,0,4
38500,-0.6832249164581299,1,sbvi,0,4
39000,-1.313802719116211,1,sbvi,0,4
39500,-1.1305170059204102,1,sbvi,0,4
40000,-0.4975636601448059,1,sbvi,0,4
40500,-0.5074073076248169,1,sbvi,0,4
41000,-0.7783774137496948,1,sbvi,0,4
41500,-1.206162452697754,1,sbvi,0,4
42000,-0.8029611110687256,1,sbvi,0,4
42500,-0.8178178071975708,1,sbvi,0,4
43000,-0.9566980600357056,1,sbvi,0,4
43500,0.10835757851600647,1,sbvi,0,4
44000,-0.8858339786529541,1,sbvi,0,4
44500,0.4139065444469452,1,sbvi,0,4
45000,-1.7622990608215332,1,sbvi,0,4
45500,-0.865807056427002,1,sbvi,0,4
46000,-0.7465897798538208,1,sbvi,0,4
46500,0.17735688388347626,1,sbvi,0,4
47000,-1.1570864915847778,1,sbvi,0,4
47500,-0.6141186952590942,1,sbvi,0,4
48000,-1.7924638986587524,1,sbvi,0,4
48500,-1.641077995300293,1,sbvi,0,4
49000,-2.0329809188842773,1,sbvi,0,4
49500,-0.7250075340270996,1,sbvi,0,4
50000,-0.5001839399337769,1,sbvi,0,4
50500,-1.1423336267471313,1,sbvi,0,4
51000,-0.3863043785095215,1,sbvi,0,4
51500,-1.1873483657836914,1,sbvi,0,4
52000,-1.0423533916473389,1,sbvi,0,4
52500,-1.954192042350769,1,sbvi,0,4
53000,-0.8105399012565613,1,sbvi,0,4
53500,-0.8605949878692627,1,sbvi,0,4
54000,-1.0478005409240723,1,sbvi,0,4
54500,-0.6830649375915527,1,sbvi,0,4
55000,-0.5558887720108032,1,sbvi,0,4
55500,-2.4640159606933594,1,sbvi,0,4
56000,-1.414268136024475,1,sbvi,0,4
56500,-2.054805278778076,1,sbvi,0,4
57000,-1.6784563064575195,1,sbvi,0,4
57500,-2.0530598163604736,1,sbvi,0,4
58000,-0.7880796790122986,1,sbvi,0,4
58500,-1.095508098602295,1,sbvi,0,4
59000,-2.034911632537842,1,sbvi,0,4
59500,0.06075674295425415,1,sbvi,0,4
60000,-0.3616229295730591,1,sbvi,0,4
60500,-0.26031020283699036,1,sbvi,0,4
61000,-0.1174464076757431,1,sbvi,0,4
61500,-2.142536163330078,1,sbvi,0,4
62000,-4.177522659301758,1,sbvi,0,4
62500,-1.152159571647644,1,sbvi,0,4
63000,-1.2119441032409668,1,sbvi,0,4
63500,-1.0859503746032715,1,sbvi,0,4
64000,-0.21418309211730957,1,sbvi,0,4
64500,-0.6542810797691345,1,sbvi,0,4
65000,-0.6059080362319946,1,sbvi,0,4
65500,-1.4252407550811768,1,sbvi,0,4
66000,0.2105439454317093,1,sbvi,0,4
66500,-0.09660506248474121,1,sbvi,0,4
67000,-1.0084397792816162,1,sbvi,0,4
67500,0.35728347301483154,1,sbvi,0,4
